 
 Stellar Parameters:
 ==================
 Teff =  2300.00  logg =  4.50  mixLengthPara =  2.00  OvershotPara =  2.20
  13 deep element abundances
           1 H    1.00000000000000     
           6 C   2.454708915685033E-004
           7 N   6.025595860743581E-005
           8 O   4.570881896148752E-004
          11 Na  1.479108388168207E-006
          12 Mg  3.388441561392028E-005
          13 Al  2.344228815319923E-006
          14 Si  3.235936569296281E-005
          16 S   1.380384264602884E-005
          19 K   1.202264434617413E-007
          20 Ca  2.041737944669527E-006
          22 Ti  7.943282347242822E-008
          26 Fe  2.818382931264455E-005
 
 Dust Parameters:
 ===============
 Nl =  1000  Vl =    3.136480E-20  Abschluss =  8
   1 nucleation species
 TiO2    
   7 dust species
 TiO2[s]   
 Mg2SiO4[s]
 SiO2[s]   
 Fe[s]     
 Al2O3[s]  
 MgO[s]    
 MgSiO3[s] 
   6 affected elements
          12 Mg
          14 Si
          22 Ti
           8 O 
          26 Fe
          13 Al
 
                   R                   T                 rho                   p                  L0                  L1                  L2                  L3     Vol%_TiO2[s]        Vol%_Mg2SiO4[s]     Vol%_SiO2[s]        Vol%_Fe[s]          Vol%_Al2O3[s]       Vol%_MgO[s]         Vol%_MgSiO3[s]               eps_Mg              eps_Si              eps_Ti              eps_O               eps_Fe              eps_Al
  2.058731799963E+10  1.030580000065E+03  6.541162119105E-13  2.411047511332E-02  7.694332332628E-12  2.426526936191E-18  7.652428719635E-25  2.413311982475E-31  9.999999993462E-01  2.070756140351E-10  1.322401064516E-10  3.251046454968E-11  4.979099488228E-12  9.346882966678E-11  1.835066756634E-10  3.388441561385E-05  3.235936569291E-05  1.207521760788E-11  4.569293481182E-04  2.818382931263E-05  2.344228815319E-06
  2.058731799890E+10  1.030580000196E+03  6.541164357304E-13  2.411048333991E-02  2.308300960802E-11  7.279584788548E-18  2.295729872038E-24  7.239939912036E-31  9.999999980387E-01  6.212270137767E-10  3.967204275992E-10  9.753142030107E-11  1.493730255145E-11  2.804065656229E-10  5.505201772293E-10  3.388441561371E-05  3.235936569282E-05  1.207521548558E-11  4.569293481178E-04  2.818382931260E-05  2.344228815316E-06
  2.058731799742E+10  1.030580000457E+03  6.541168833715E-13  2.411049979314E-02  5.386041459957E-11  1.698571641323E-17  5.356708896797E-24  1.689321162967E-30  9.999999954235E-01  1.449530500063E-09  9.256815029486E-10  2.275734384307E-10  3.485372502785E-11  6.542823440790E-10  1.284547781424E-09  3.388441561342E-05  3.235936569262E-05  1.207521124098E-11  4.569293481172E-04  2.818382931255E-05  2.344228815312E-06
  2.058731799448E+10  1.030580000978E+03  6.541177786547E-13  2.411053269964E-02  1.154154263460E-10  3.639804334233E-17  1.147868704464E-23  3.619981849888E-30  9.999999901933E-01  3.106140200275E-09  1.983605373363E-09  4.876578981244E-10  7.468663490975E-11  1.402035118332E-09  2.752605376718E-09  3.388441561286E-05  3.235936569223E-05  1.207520275176E-11  4.569293481158E-04  2.818382931244E-05  2.344228815302E-06
  2.058731798859E+10  1.030580002022E+03  6.541195692236E-13  2.411059851273E-02  2.385262568977E-10  7.522295192255E-17  2.372272373506E-23  7.481328597595E-30  9.999999797327E-01  6.419370638533E-09  4.099460074337E-09  1.007828531232E-09  1.543527174504E-10  2.897545593650E-09  5.688730227717E-09  3.388441561172E-05  3.235936569144E-05  1.207518577337E-11  4.569293481130E-04  2.818382931222E-05  2.344228815284E-06
  2.058731797681E+10  1.030580004109E+03  6.541231503772E-13  2.411073013949E-02  4.847511462638E-10  1.528737879780E-16  4.821111869637E-23  1.520412358918E-29  9.999999588115E-01  1.304587545480E-08  8.331197181742E-09  2.048176619107E-09  3.136859285515E-10  5.888586156030E-09  1.156101838385E-08  3.388441560945E-05  3.235936568987E-05  1.207515181667E-11  4.569293481075E-04  2.818382931178E-05  2.344228815247E-06
  2.058731795326E+10  1.030580008284E+03  6.541303127445E-13  2.411099339521E-02  9.772138383055E-10  3.081795357503E-16  9.718919496673E-23  3.065011956521E-29  9.999999169684E-01  2.629906090227E-08  1.679478225405E-08  4.128900090269E-09  6.323565361762E-10  1.187074575298E-08  2.330574856216E-08  3.388441560492E-05  3.235936568672E-05  1.207508390359E-11  4.569293480964E-04  2.818382931090E-05  2.344228815172E-06
  2.058731790614E+10  1.030580016633E+03  6.541446377121E-13  2.411151991519E-02  1.962190877754E-09  6.188073346131E-16  1.951504931107E-22  6.154373555572E-29  9.999998332801E-01  5.280613509743E-08  3.372239585437E-08  8.290456220568E-09  1.269714494085E-09  2.383537885382E-08  4.679582441863E-08  3.388441559584E-05  3.235936568043E-05  1.207494807884E-11  4.569293480742E-04  2.818382930914E-05  2.344228815023E-06
  2.058731781192E+10  1.030580033332E+03  6.541732885883E-13  2.411257298964E-02  3.932351594992E-09  1.240128150944E-15  3.910936734964E-22  1.233374642230E-28  9.999996658947E-01  1.058230968184E-07  6.757939695904E-08  1.661400525308E-08  2.544497383610E-09  4.776590074083E-08  9.377843824373E-08  3.388441557770E-05  3.235936566784E-05  1.207467643486E-11  4.569293480299E-04  2.818382930562E-05  2.344228814725E-06
  2.058731762347E+10  1.030580066729E+03  6.542305941066E-13  2.411467927656E-02  7.873499717551E-09  2.483030700592E-15  7.830623841060E-22  2.469509125504E-28  9.999993310886E-01  2.118682747015E-07  1.353004954871E-07  3.326285057882E-08  5.094331084040E-09  9.563196775367E-08  1.877535153179E-07  3.388441554140E-05  3.235936564268E-05  1.207413316895E-11  4.569293479413E-04  2.818382929858E-05  2.344228814130E-06
