 Teff =  2300.00  logg =  4.50  mixLengthPara =  2.00  Abschluss =  8  beta =  2.20  pconv[bar] =  0.29
           6         167
 
           z           p           T        n<H>  CH          CO          CH2         H2O         C2H         C2          C3          C4          C5          C2H2        CHO         H2CO        CH3         CH4         CO2         C2H4        C2H4O       C2O         C3O2        OH          HO2         HCN         CN          C2N         C2N2        NH          HNO         NH2         NO          NO2         N2O         H+          H-          C-          CHNO        CHO+        CN+         CN-         CNN         NCN         C2-         C4N2        HNO2(cis)   HNO2(tr)    HNO3        HO+         HO-         H2N2        NH3         H3O+        H4N2        NO+         NO2-        NO3         N2O3        N2O4        N2O5        O-          O2-         O3          CO2-        SI2         SI3         SIC         SI2C        SIC2        SIH         SIH4        SIN         SI2N        SIO         SIO2        AL+         ALH         HALO        ALOH        ALOH+       ALOH-       ALO2H       ALN         ALO         ALO+        ALO2        ALO2-       AL2O        AL2O+       AL2O2       AL202+      CAL         MGH         MGOH        MGOH+       MG(OH)2     MG+         MGN         MGO         ALS         CKN         NACN        COS       
  3.6806E-01  2.4110E-02  1.0306E+03  2.8886E+11  3.1027E-18  7.0879E+07  3.1850E-15  5.2195E+07  1.2593E-19  9.2874E-31  1.4971E-36  2.8597E-53  1.6512E-61  1.8000E-14  5.5952E-04  1.4565E-06  7.7868E-10  1.2626E-06  2.6522E+04  5.3943E-20  5.2274E-32  1.0646E-19  3.4944E-25  5.0812E+00  2.0327E-15  4.8252E-05  7.6869E-13  7.2215E-26  8.4929E-24  8.2372E-08  2.9680E-12  6.3186E-06  7.3158E-05  5.3106E-19  6.0382E-15  2.9721E-42  2.8481E-09  4.8852E-31  6.3360E-09  3.8537E-30  2.3720E-62  2.0077E-13  8.3830E-30  3.9147E-22  4.8421E-30  1.3925E-49  2.7946E-20  3.6182E-20  5.3986E-35  6.1379E-46  3.2700E-10  4.2814E-18  1.0398E-02  3.6719E-23  8.7153E-26  2.9426E-32  3.7436E-18  1.0950E-38  3.1515E-47  3.6266E-62  2.4280E-78  5.4511E-16  2.4577E-24  4.8413E-32  2.0962E-11  8.3040E-19  1.2918E-28  5.1065E-25  5.8904E-24  3.1232E-27  1.7918E-07  4.4025E-12  6.0639E-10  1.4844E-18  8.3333E+06  6.5486E-01  7.5890E-09  3.2551E+00  6.9373E-06  3.6541E+05  2.9533E-12  3.3199E-10  2.7267E+03  1.6018E-11  6.6096E-01  1.6222E-28  3.2335E-04  1.9269E-02  1.5178E+05  3.8348E-14  8.5802E+00  4.5542E-29  2.4522E-21  7.2960E+00  2.1353E+03  5.0587E-20  1.8020E-02  6.3709E-12  6.9541E-08  3.3688E-01  3.5294E+03  2.8112E-10  3.0592E-31  2.9867E+01
  1.1042E+00  2.4110E-02  1.0306E+03  2.8886E+11  3.1027E-18  7.0879E+07  3.1850E-15  5.2195E+07  1.2593E-19  9.2874E-31  1.4971E-36  2.8597E-53  1.6512E-61  1.8000E-14  5.5952E-04  1.4565E-06  7.7868E-10  1.2626E-06  2.6522E+04  5.3943E-20  5.2274E-32  1.0646E-19  3.4944E-25  5.0812E+00  2.0327E-15  4.8252E-05  7.6869E-13  7.2215E-26  8.4929E-24  8.2372E-08  2.9680E-12  6.3186E-06  7.3158E-05  5.3106E-19  6.0382E-15  2.9721E-42  2.8481E-09  4.8852E-31  6.3360E-09  3.8537E-30  2.3720E-62  2.0077E-13  8.3830E-30  3.9147E-22  4.8421E-30  1.3925E-49  2.7946E-20  3.6182E-20  5.3986E-35  6.1379E-46  3.2700E-10  4.2815E-18  1.0398E-02  3.6719E-23  8.7153E-26  2.9426E-32  3.7436E-18  1.0950E-38  3.1515E-47  3.6266E-62  2.4280E-78  5.4511E-16  2.4577E-24  4.8413E-32  2.0962E-11  8.3041E-19  1.2918E-28  5.1065E-25  5.8904E-24  3.1232E-27  1.7918E-07  4.4025E-12  6.0639E-10  1.4844E-18  8.3333E+06  6.5486E-01  7.5890E-09  3.2551E+00  6.9373E-06  3.6541E+05  2.9533E-12  3.3199E-10  2.7267E+03  1.6018E-11  6.6096E-01  1.6222E-28  3.2335E-04  1.9269E-02  1.5178E+05  3.8348E-14  8.5802E+00  4.5542E-29  2.4522E-21  7.2960E+00  2.1353E+03  5.0587E-20  1.8020E-02  6.3709E-12  6.9541E-08  3.3688E-01  3.5294E+03  2.8112E-10  3.0592E-31  2.9867E+01
  2.5764E+00  2.4110E-02  1.0306E+03  2.8886E+11  3.1027E-18  7.0880E+07  3.1850E-15  5.2195E+07  1.2593E-19  9.2874E-31  1.4972E-36  2.8598E-53  1.6513E-61  1.8000E-14  5.5952E-04  1.4565E-06  7.7868E-10  1.2626E-06  2.6522E+04  5.3943E-20  5.2274E-32  1.0646E-19  3.4944E-25  5.0812E+00  2.0328E-15  4.8252E-05  7.6869E-13  7.2216E-26  8.4930E-24  8.2372E-08  2.9680E-12  6.3186E-06  7.3158E-05  5.3106E-19  6.0382E-15  2.9721E-42  2.8481E-09  4.8852E-31  6.3360E-09  3.8537E-30  2.3720E-62  2.0077E-13  8.3830E-30  3.9147E-22  4.8421E-30  1.3926E-49  2.7946E-20  3.6182E-20  5.3986E-35  6.1379E-46  3.2700E-10  4.2815E-18  1.0398E-02  3.6719E-23  8.7153E-26  2.9426E-32  3.7436E-18  1.0950E-38  3.1515E-47  3.6266E-62  2.4280E-78  5.4511E-16  2.4577E-24  4.8413E-32  2.0962E-11  8.3041E-19  1.2918E-28  5.1066E-25  5.8904E-24  3.1232E-27  1.7918E-07  4.4025E-12  6.0639E-10  1.4844E-18  8.3334E+06  6.5486E-01  7.5890E-09  3.2551E+00  6.9373E-06  3.6541E+05  2.9533E-12  3.3199E-10  2.7267E+03  1.6018E-11  6.6096E-01  1.6222E-28  3.2335E-04  1.9269E-02  1.5178E+05  3.8348E-14  8.5802E+00  4.5542E-29  2.4522E-21  7.2960E+00  2.1353E+03  5.0587E-20  1.8020E-02  6.3709E-12  6.9541E-08  3.3688E-01  3.5294E+03  2.8112E-10  3.0592E-31  2.9867E+01
  5.5209E+00  2.4111E-02  1.0306E+03  2.8886E+11  3.1027E-18  7.0880E+07  3.1850E-15  5.2195E+07  1.2593E-19  9.2874E-31  1.4972E-36  2.8598E-53  1.6513E-61  1.8000E-14  5.5952E-04  1.4565E-06  7.7869E-10  1.2626E-06  2.6522E+04  5.3943E-20  5.2274E-32  1.0646E-19  3.4944E-25  5.0812E+00  2.0328E-15  4.8252E-05  7.6869E-13  7.2216E-26  8.4930E-24  8.2372E-08  2.9680E-12  6.3186E-06  7.3158E-05  5.3106E-19  6.0382E-15  2.9721E-42  2.8481E-09  4.8852E-31  6.3361E-09  3.8537E-30  2.3720E-62  2.0077E-13  8.3830E-30  3.9148E-22  4.8421E-30  1.3926E-49  2.7946E-20  3.6182E-20  5.3986E-35  6.1379E-46  3.2700E-10  4.2815E-18  1.0398E-02  3.6719E-23  8.7154E-26  2.9426E-32  3.7436E-18  1.0950E-38  3.1515E-47  3.6266E-62  2.4280E-78  5.4511E-16  2.4577E-24  4.8413E-32  2.0962E-11  8.3041E-19  1.2918E-28  5.1066E-25  5.8905E-24  3.1232E-27  1.7918E-07  4.4025E-12  6.0639E-10  1.4844E-18  8.3334E+06  6.5486E-01  7.5890E-09  3.2551E+00  6.9373E-06  3.6542E+05  2.9533E-12  3.3199E-10  2.7267E+03  1.6018E-11  6.6096E-01  1.6222E-28  3.2335E-04  1.9269E-02  1.5178E+05  3.8348E-14  8.5802E+00  4.5542E-29  2.4522E-21  7.2960E+00  2.1353E+03  5.0587E-20  1.8020E-02  6.3709E-12  6.9542E-08  3.3688E-01  3.5294E+03  2.8112E-10  3.0592E-31  2.9867E+01
  1.1410E+01  2.4111E-02  1.0306E+03  2.8886E+11  3.1027E-18  7.0880E+07  3.1850E-15  5.2196E+07  1.2593E-19  9.2875E-31  1.4972E-36  2.8598E-53  1.6513E-61  1.8000E-14  5.5952E-04  1.4565E-06  7.7869E-10  1.2627E-06  2.6522E+04  5.3944E-20  5.2275E-32  1.0646E-19  3.4944E-25  5.0812E+00  2.0328E-15  4.8252E-05  7.6869E-13  7.2216E-26  8.4931E-24  8.2372E-08  2.9680E-12  6.3186E-06  7.3158E-05  5.3106E-19  6.0382E-15  2.9721E-42  2.8481E-09  4.8852E-31  6.3361E-09  3.8537E-30  2.3720E-62  2.0077E-13  8.3830E-30  3.9148E-22  4.8422E-30  1.3926E-49  2.7946E-20  3.6182E-20  5.3986E-35  6.1379E-46  3.2700E-10  4.2815E-18  1.0398E-02  3.6720E-23  8.7154E-26  2.9426E-32  3.7437E-18  1.0950E-38  3.1515E-47  3.6266E-62  2.4280E-78  5.4511E-16  2.4577E-24  4.8413E-32  2.0962E-11  8.3041E-19  1.2919E-28  5.1066E-25  5.8905E-24  3.1232E-27  1.7918E-07  4.4026E-12  6.0639E-10  1.4844E-18  8.3334E+06  6.5486E-01  7.5890E-09  3.2551E+00  6.9373E-06  3.6542E+05  2.9533E-12  3.3199E-10  2.7268E+03  1.6018E-11  6.6096E-01  1.6222E-28  3.2335E-04  1.9269E-02  1.5178E+05  3.8348E-14  8.5802E+00  4.5542E-29  2.4522E-21  7.2961E+00  2.1353E+03  5.0587E-20  1.8020E-02  6.3709E-12  6.9542E-08  3.3688E-01  3.5294E+03  2.8112E-10  3.0592E-31  2.9867E+01
  2.3188E+01  2.4111E-02  1.0306E+03  2.8886E+11  3.1027E-18  7.0880E+07  3.1851E-15  5.2196E+07  1.2593E-19  9.2876E-31  1.4972E-36  2.8599E-53  1.6513E-61  1.8001E-14  5.5953E-04  1.4565E-06  7.7870E-10  1.2627E-06  2.6522E+04  5.3945E-20  5.2276E-32  1.0647E-19  3.4945E-25  5.0812E+00  2.0328E-15  4.8253E-05  7.6870E-13  7.2217E-26  8.4932E-24  8.2372E-08  2.9680E-12  6.3187E-06  7.3158E-05  5.3106E-19  6.0382E-15  2.9721E-42  2.8481E-09  4.8852E-31  6.3362E-09  3.8538E-30  2.3720E-62  2.0077E-13  8.3831E-30  3.9148E-22  4.8422E-30  1.3926E-49  2.7946E-20  3.6182E-20  5.3986E-35  6.1379E-46  3.2700E-10  4.2815E-18  1.0398E-02  3.6720E-23  8.7156E-26  2.9426E-32  3.7437E-18  1.0950E-38  3.1516E-47  3.6267E-62  2.4280E-78  5.4511E-16  2.4577E-24  4.8413E-32  2.0963E-11  8.3042E-19  1.2919E-28  5.1067E-25  5.8906E-24  3.1233E-27  1.7918E-07  4.4027E-12  6.0639E-10  1.4844E-18  8.3334E+06  6.5487E-01  7.5890E-09  3.2551E+00  6.9373E-06  3.6542E+05  2.9533E-12  3.3200E-10  2.7268E+03  1.6019E-11  6.6096E-01  1.6222E-28  3.2335E-04  1.9269E-02  1.5178E+05  3.8348E-14  8.5803E+00  4.5542E-29  2.4522E-21  7.2961E+00  2.1354E+03  5.0587E-20  1.8021E-02  6.3709E-12  6.9542E-08  3.3688E-01  3.5294E+03  2.8112E-10  3.0593E-31  2.9867E+01
  4.6744E+01  2.4111E-02  1.0306E+03  2.8886E+11  3.1028E-18  7.0881E+07  3.1851E-15  5.2196E+07  1.2594E-19  9.2878E-31  1.4972E-36  2.8600E-53  1.6514E-61  1.8001E-14  5.5954E-04  1.4566E-06  7.7872E-10  1.2627E-06  2.6522E+04  5.3947E-20  5.2278E-32  1.0647E-19  3.4946E-25  5.0813E+00  2.0328E-15  4.8254E-05  7.6871E-13  7.2219E-26  8.4935E-24  8.2373E-08  2.9680E-12  6.3188E-06  7.3159E-05  5.3107E-19  6.0383E-15  2.9721E-42  2.8482E-09  4.8853E-31  6.3363E-09  3.8538E-30  2.3721E-62  2.0078E-13  8.3833E-30  3.9149E-22  4.8424E-30  1.3927E-49  2.7947E-20  3.6183E-20  5.3987E-35  6.1379E-46  3.2701E-10  4.2816E-18  1.0398E-02  3.6720E-23  8.7159E-26  2.9426E-32  3.7437E-18  1.0950E-38  3.1516E-47  3.6267E-62  2.4281E-78  5.4511E-16  2.4577E-24  4.8413E-32  2.0963E-11  8.3044E-19  1.2919E-28  5.1068E-25  5.8908E-24  3.1234E-27  1.7919E-07  4.4028E-12  6.0640E-10  1.4845E-18  8.3335E+06  6.5487E-01  7.5890E-09  3.2552E+00  6.9374E-06  3.6542E+05  2.9533E-12  3.3200E-10  2.7268E+03  1.6019E-11  6.6096E-01  1.6222E-28  3.2335E-04  1.9270E-02  1.5178E+05  3.8349E-14  8.5804E+00  4.5543E-29  2.4522E-21  7.2962E+00  2.1354E+03  5.0588E-20  1.8021E-02  6.3710E-12  6.9544E-08  3.3689E-01  3.5294E+03  2.8113E-10  3.0594E-31  2.9868E+01
  9.3855E+01  2.4112E-02  1.0306E+03  2.8887E+11  3.1029E-18  7.0883E+07  3.1853E-15  5.2198E+07  1.2594E-19  9.2882E-31  1.4973E-36  2.8602E-53  1.6516E-61  1.8003E-14  5.5955E-04  1.4566E-06  7.7877E-10  1.2628E-06  2.6523E+04  5.3952E-20  5.2283E-32  1.0647E-19  3.4948E-25  5.0813E+00  2.0328E-15  4.8256E-05  7.6874E-13  7.2223E-26  8.4940E-24  8.2375E-08  2.9681E-12  6.3190E-06  7.3160E-05  5.3107E-19  6.0384E-15  2.9722E-42  2.8482E-09  4.8855E-31  6.3366E-09  3.8539E-30  2.3721E-62  2.0078E-13  8.3837E-30  3.9151E-22  4.8426E-30  1.3928E-49  2.7947E-20  3.6184E-20  5.3988E-35  6.1379E-46  3.2701E-10  4.2818E-18  1.0399E-02  3.6721E-23  8.7164E-26  2.9426E-32  3.7438E-18  1.0950E-38  3.1517E-47  3.6268E-62  2.4281E-78  5.4512E-16  2.4578E-24  4.8413E-32  2.0964E-11  8.3048E-19  1.2920E-28  5.1070E-25  5.8912E-24  3.1236E-27  1.7919E-07  4.4031E-12  6.0642E-10  1.4846E-18  8.3337E+06  6.5489E-01  7.5890E-09  3.2552E+00  6.9376E-06  3.6543E+05  2.9533E-12  3.3201E-10  2.7269E+03  1.6019E-11  6.6097E-01  1.6222E-28  3.2335E-04  1.9270E-02  1.5179E+05  3.8349E-14  8.5806E+00  4.5543E-29  2.4523E-21  7.2965E+00  2.1355E+03  5.0589E-20  1.8022E-02  6.3710E-12  6.9546E-08  3.3689E-01  3.5294E+03  2.8115E-10  3.0595E-31  2.9868E+01
  1.8808E+02  2.4113E-02  1.0306E+03  2.8888E+11  3.1031E-18  7.0886E+07  3.1856E-15  5.2200E+07  1.2596E-19  9.2890E-31  1.4975E-36  2.8607E-53  1.6520E-61  1.8005E-14  5.5959E-04  1.4568E-06  7.7885E-10  1.2630E-06  2.6524E+04  5.3962E-20  5.2292E-32  1.0648E-19  3.4953E-25  5.0814E+00  2.0328E-15  4.8260E-05  7.6879E-13  7.2231E-26  8.4952E-24  8.2379E-08  2.9682E-12  6.3194E-06  7.3161E-05  5.3109E-19  6.0387E-15  2.9722E-42  2.8484E-09  4.8858E-31  6.3371E-09  3.8541E-30  2.3722E-62  2.0080E-13  8.3844E-30  3.9154E-22  4.8432E-30  1.3932E-49  2.7948E-20  3.6185E-20  5.3991E-35  6.1379E-46  3.2703E-10  4.2822E-18  1.0400E-02  3.6723E-23  8.7176E-26  2.9426E-32  3.7440E-18  1.0950E-38  3.1518E-47  3.6270E-62  2.4282E-78  5.4513E-16  2.4578E-24  4.8413E-32  2.0965E-11  8.3055E-19  1.2922E-28  5.1074E-25  5.8920E-24  3.1240E-27  1.7920E-07  4.4037E-12  6.0646E-10  1.4847E-18  8.3341E+06  6.5492E-01  7.5890E-09  3.2554E+00  6.9379E-06  3.6545E+05  2.9534E-12  3.3203E-10  2.7270E+03  1.6020E-11  6.6099E-01  1.6222E-28  3.2336E-04  1.9271E-02  1.5179E+05  3.8350E-14  8.5809E+00  4.5544E-29  2.4525E-21  7.2970E+00  2.1356E+03  5.0591E-20  1.8023E-02  6.3712E-12  6.9550E-08  3.3691E-01  3.5295E+03  2.8118E-10  3.0599E-31  2.9870E+01
  3.7653E+02  2.4115E-02  1.0306E+03  2.8891E+11  3.1035E-18  7.0892E+07  3.1861E-15  5.2204E+07  1.2598E-19  9.2907E-31  1.4979E-36  2.8618E-53  1.6527E-61  1.8010E-14  5.5967E-04  1.4570E-06  7.7902E-10  1.2633E-06  2.6526E+04  5.3980E-20  5.2310E-32  1.0650E-19  3.4962E-25  5.0817E+00  2.0329E-15  4.8269E-05  7.6889E-13  7.2247E-26  8.4974E-24  8.2386E-08  2.9685E-12  6.3203E-06  7.3165E-05  5.3111E-19  6.0392E-15  2.9722E-42  2.8486E-09  4.8865E-31  6.3382E-09  3.8544E-30  2.3724E-62  2.0084E-13  8.3859E-30  3.9161E-22  4.8442E-30  1.3938E-49  2.7951E-20  3.6188E-20  5.3996E-35  6.1380E-46  3.2706E-10  4.2830E-18  1.0402E-02  3.6726E-23  8.7199E-26  2.9426E-32  3.7443E-18  1.0951E-38  3.1521E-47  3.6273E-62  2.4285E-78  5.4516E-16  2.4579E-24  4.8413E-32  2.0968E-11  8.3069E-19  1.2925E-28  5.1083E-25  5.8935E-24  3.1248E-27  1.7923E-07  4.4048E-12  6.0654E-10  1.4850E-18  8.3348E+06  6.5497E-01  7.5890E-09  3.2557E+00  6.9385E-06  3.6548E+05  2.9535E-12  3.3208E-10  2.7272E+03  1.6021E-11  6.6102E-01  1.6222E-28  3.2338E-04  1.9273E-02  1.5181E+05  3.8352E-14  8.5817E+00  4.5546E-29  2.4528E-21  7.2979E+00  2.1359E+03  5.0596E-20  1.8027E-02  6.3715E-12  6.9560E-08  3.3694E-01  3.5297E+03  2.8124E-10  3.0605E-31  2.9873E+01
