 Teff =  2300.00  logg =  4.50  mixLengthPara =  2.00  Abschluss =  8  beta =  2.20  pconv[bar] =  0.29
           6         167
 
           z           p           T        n<H>  CS          CS2         C2K2N2      C2N2NA2     FE(OH)2     FEO         FEH         HK          KOH         NAH         NAOH        HS          K2O2H2      NA2O2H2     H2SO4       H2S         K+          KO          KO-         K2          MGS         SN          NA+         NAO         NAO-        NA2         SO          S2O         SO2         SIS         S8          H2          N2          O2          S2          FES         C+          N+          O+          CNO         TIO         TIO2        TIC         TIC2        TIS         TI+         S+          SI+         FE+         C3H         CA+         CAOH        CA(OH)2     CAO         CAS         CA2         CAH         TIH         LIH         LIO         LIOH        LICL        NACL        KCL         CACL        CACL2       HCL       
  3.6806E-01  2.4110E-02  1.0306E+03  2.8886E+11  1.4485E+00  7.7678E-03  6.4785E-37  1.0958E-77  3.8310E-02  7.1449E-01  4.6096E-03  3.0375E-03  1.8633E-01  1.8612E-01  1.4231E+00  9.6442E+04  1.7183E-19  2.5207E-16  2.7905E-27  2.3390E+06  3.9286E+01  1.1707E-09  1.4541E-18  1.0887E-11  4.7853E+02  4.8069E-04  6.0071E-02  2.1497E-08  1.6541E-17  1.7159E-08  1.3870E+02  1.6549E-02  2.3675E+00  1.0139E+06  1.5629E-39  1.4437E+11  8.7027E+06  4.2775E-08  2.5940E+05  1.5889E+02  1.9892E-55  7.7200E-61  9.5792E-53  1.1126E-15  2.3347E-01  3.2531E+00  1.1493E-22  1.6146E-33  1.3993E-03  2.1420E-21  6.1371E-29  6.8815E-27  1.2066E-13  7.6885E-30  6.2092E-06  1.1236E+03  1.3910E+01  2.6266E-03  8.0338E+02  2.4810E-10  4.1762E-01  1.4238E-13  5.6249E-93  1.0827E-98  7.6646E-90  2.3025-180  5.0460E-90  3.2921E-90  1.3074E-89  8.2397-176  2.6744E-88
  1.1042E+00  2.4110E-02  1.0306E+03  2.8886E+11  1.4485E+00  7.7679E-03  6.4785E-37  1.0958E-77  3.8310E-02  7.1449E-01  4.6096E-03  3.0375E-03  1.8633E-01  1.8612E-01  1.4231E+00  9.6442E+04  1.7183E-19  2.5207E-16  2.7905E-27  2.3390E+06  3.9286E+01  1.1707E-09  1.4541E-18  1.0887E-11  4.7853E+02  4.8069E-04  6.0071E-02  2.1497E-08  1.6541E-17  1.7159E-08  1.3870E+02  1.6549E-02  2.3675E+00  1.0139E+06  1.5629E-39  1.4437E+11  8.7027E+06  4.2775E-08  2.5940E+05  1.5889E+02  1.9892E-55  7.7200E-61  9.5792E-53  1.1126E-15  2.3347E-01  3.2531E+00  1.1493E-22  1.6146E-33  1.3993E-03  2.1420E-21  6.1371E-29  6.8815E-27  1.2066E-13  7.6885E-30  6.2092E-06  1.1236E+03  1.3910E+01  2.6266E-03  8.0338E+02  2.4810E-10  4.1762E-01  1.4238E-13  5.6249E-93  1.0827E-98  7.6646E-90  2.3025-180  5.0460E-90  3.2921E-90  1.3074E-89  8.2397-176  2.6744E-88
  2.5764E+00  2.4110E-02  1.0306E+03  2.8886E+11  1.4485E+00  7.7679E-03  6.4785E-37  1.0958E-77  3.8311E-02  7.1449E-01  4.6096E-03  3.0375E-03  1.8633E-01  1.8612E-01  1.4231E+00  9.6442E+04  1.7183E-19  2.5207E-16  2.7905E-27  2.3390E+06  3.9286E+01  1.1707E-09  1.4541E-18  1.0887E-11  4.7853E+02  4.8069E-04  6.0071E-02  2.1497E-08  1.6541E-17  1.7159E-08  1.3870E+02  1.6549E-02  2.3675E+00  1.0139E+06  1.5629E-39  1.4437E+11  8.7027E+06  4.2775E-08  2.5940E+05  1.5889E+02  1.9892E-55  7.7200E-61  9.5792E-53  1.1126E-15  2.3347E-01  3.2531E+00  1.1493E-22  1.6146E-33  1.3993E-03  2.1420E-21  6.1371E-29  6.8815E-27  1.2066E-13  7.6885E-30  6.2092E-06  1.1236E+03  1.3910E+01  2.6266E-03  8.0338E+02  2.4810E-10  4.1762E-01  1.4238E-13  5.6249E-93  1.0827E-98  7.6646E-90  2.3026-180  5.0460E-90  3.2921E-90  1.3074E-89  8.2397-176  2.6744E-88
  5.5209E+00  2.4111E-02  1.0306E+03  2.8886E+11  1.4485E+00  7.7679E-03  6.4786E-37  1.0958E-77  3.8311E-02  7.1449E-01  4.6096E-03  3.0375E-03  1.8633E-01  1.8612E-01  1.4231E+00  9.6443E+04  1.7183E-19  2.5207E-16  2.7905E-27  2.3390E+06  3.9286E+01  1.1707E-09  1.4541E-18  1.0887E-11  4.7853E+02  4.8069E-04  6.0071E-02  2.1497E-08  1.6541E-17  1.7159E-08  1.3870E+02  1.6549E-02  2.3675E+00  1.0139E+06  1.5629E-39  1.4437E+11  8.7027E+06  4.2775E-08  2.5940E+05  1.5889E+02  1.9892E-55  7.7200E-61  9.5792E-53  1.1126E-15  2.3347E-01  3.2532E+00  1.1493E-22  1.6146E-33  1.3993E-03  2.1420E-21  6.1371E-29  6.8815E-27  1.2066E-13  7.6885E-30  6.2092E-06  1.1236E+03  1.3910E+01  2.6266E-03  8.0338E+02  2.4810E-10  4.1762E-01  1.4238E-13  5.6249E-93  1.0827E-98  7.6647E-90  2.3026-180  5.0460E-90  3.2921E-90  1.3074E-89  8.2398-176  2.6744E-88
  1.1410E+01  2.4111E-02  1.0306E+03  2.8886E+11  1.4485E+00  7.7679E-03  6.4787E-37  1.0958E-77  3.8311E-02  7.1449E-01  4.6096E-03  3.0375E-03  1.8633E-01  1.8612E-01  1.4231E+00  9.6443E+04  1.7183E-19  2.5207E-16  2.7905E-27  2.3390E+06  3.9286E+01  1.1707E-09  1.4541E-18  1.0887E-11  4.7853E+02  4.8069E-04  6.0071E-02  2.1497E-08  1.6542E-17  1.7159E-08  1.3870E+02  1.6549E-02  2.3675E+00  1.0139E+06  1.5629E-39  1.4437E+11  8.7027E+06  4.2775E-08  2.5940E+05  1.5889E+02  1.9892E-55  7.7200E-61  9.5792E-53  1.1127E-15  2.3347E-01  3.2532E+00  1.1493E-22  1.6146E-33  1.3993E-03  2.1420E-21  6.1371E-29  6.8815E-27  1.2066E-13  7.6886E-30  6.2092E-06  1.1236E+03  1.3910E+01  2.6266E-03  8.0339E+02  2.4810E-10  4.1762E-01  1.4238E-13  5.6249E-93  1.0827E-98  7.6647E-90  2.3026-180  5.0461E-90  3.2921E-90  1.3074E-89  8.2398-176  2.6744E-88
  2.3188E+01  2.4111E-02  1.0306E+03  2.8886E+11  1.4485E+00  7.7680E-03  6.4789E-37  1.0959E-77  3.8311E-02  7.1450E-01  4.6097E-03  3.0375E-03  1.8633E-01  1.8612E-01  1.4231E+00  9.6443E+04  1.7183E-19  2.5207E-16  2.7905E-27  2.3390E+06  3.9287E+01  1.1707E-09  1.4541E-18  1.0887E-11  4.7853E+02  4.8070E-04  6.0071E-02  2.1497E-08  1.6542E-17  1.7159E-08  1.3870E+02  1.6549E-02  2.3675E+00  1.0139E+06  1.5629E-39  1.4437E+11  8.7028E+06  4.2775E-08  2.5940E+05  1.5889E+02  1.9892E-55  7.7200E-61  9.5791E-53  1.1127E-15  2.3347E-01  3.2532E+00  1.1493E-22  1.6147E-33  1.3993E-03  2.1420E-21  6.1371E-29  6.8815E-27  1.2066E-13  7.6888E-30  6.2092E-06  1.1236E+03  1.3910E+01  2.6266E-03  8.0339E+02  2.4810E-10  4.1763E-01  1.4238E-13  5.6250E-93  1.0827E-98  7.6648E-90  2.3026-180  5.0461E-90  3.2921E-90  1.3074E-89  8.2399-176  2.6744E-88
  4.6744E+01  2.4111E-02  1.0306E+03  2.8886E+11  1.4485E+00  7.7681E-03  6.4792E-37  1.0959E-77  3.8312E-02  7.1451E-01  4.6097E-03  3.0376E-03  1.8633E-01  1.8613E-01  1.4231E+00  9.6444E+04  1.7184E-19  2.5208E-16  2.7905E-27  2.3391E+06  3.9287E+01  1.1707E-09  1.4541E-18  1.0887E-11  4.7854E+02  4.8070E-04  6.0071E-02  2.1498E-08  1.6542E-17  1.7159E-08  1.3870E+02  1.6549E-02  2.3675E+00  1.0139E+06  1.5629E-39  1.4437E+11  8.7029E+06  4.2775E-08  2.5940E+05  1.5890E+02  1.9892E-55  7.7200E-61  9.5791E-53  1.1127E-15  2.3347E-01  3.2532E+00  1.1493E-22  1.6147E-33  1.3993E-03  2.1420E-21  6.1370E-29  6.8816E-27  1.2066E-13  7.6891E-30  6.2092E-06  1.1236E+03  1.3910E+01  2.6267E-03  8.0340E+02  2.4811E-10  4.1763E-01  1.4238E-13  5.6251E-93  1.0827E-98  7.6649E-90  2.3026-180  5.0462E-90  3.2922E-90  1.3074E-89  8.2401-176  2.6744E-88
  9.3855E+01  2.4112E-02  1.0306E+03  2.8887E+11  1.4486E+00  7.7683E-03  6.4799E-37  1.0960E-77  3.8314E-02  7.1452E-01  4.6099E-03  3.0377E-03  1.8634E-01  1.8613E-01  1.4232E+00  9.6445E+04  1.7185E-19  2.5210E-16  2.7906E-27  2.3391E+06  3.9287E+01  1.1707E-09  1.4542E-18  1.0888E-11  4.7855E+02  4.8071E-04  6.0072E-02  2.1498E-08  1.6543E-17  1.7160E-08  1.3870E+02  1.6549E-02  2.3675E+00  1.0139E+06  1.5630E-39  1.4438E+11  8.7031E+06  4.2775E-08  2.5940E+05  1.5890E+02  1.9892E-55  7.7200E-61  9.5790E-53  1.1127E-15  2.3347E-01  3.2532E+00  1.1494E-22  1.6148E-33  1.3993E-03  2.1420E-21  6.1370E-29  6.8817E-27  1.2067E-13  7.6896E-30  6.2093E-06  1.1237E+03  1.3911E+01  2.6267E-03  8.0342E+02  2.4812E-10  4.1765E-01  1.4238E-13  5.6252E-93  1.0828E-98  7.6651E-90  2.3027-180  5.0463E-90  3.2923E-90  1.3074E-89  8.2404-176  2.6745E-88
  1.8808E+02  2.4113E-02  1.0306E+03  2.8888E+11  1.4486E+00  7.7687E-03  6.4813E-37  1.0963E-77  3.8317E-02  7.1455E-01  4.6102E-03  3.0379E-03  1.8635E-01  1.8614E-01  1.4233E+00  9.6448E+04  1.7187E-19  2.5213E-16  2.7907E-27  2.3392E+06  3.9288E+01  1.1708E-09  1.4543E-18  1.0888E-11  4.7857E+02  4.8072E-04  6.0073E-02  2.1499E-08  1.6544E-17  1.7162E-08  1.3870E+02  1.6549E-02  2.3675E+00  1.0140E+06  1.5630E-39  1.4438E+11  8.7034E+06  4.2775E-08  2.5940E+05  1.5891E+02  1.9893E-55  7.7201E-61  9.5788E-53  1.1128E-15  2.3348E-01  3.2533E+00  1.1494E-22  1.6150E-33  1.3994E-03  2.1420E-21  6.1369E-29  6.8818E-27  1.2067E-13  7.6908E-30  6.2094E-06  1.1237E+03  1.3912E+01  2.6268E-03  8.0346E+02  2.4814E-10  4.1768E-01  1.4239E-13  5.6256E-93  1.0828E-98  7.6656E-90  2.3028-180  5.0467E-90  3.2925E-90  1.3075E-89  8.2411-176  2.6746E-88
  3.7653E+02  2.4115E-02  1.0306E+03  2.8891E+11  1.4488E+00  7.7696E-03  6.4842E-37  1.0968E-77  3.8324E-02  7.1462E-01  4.6108E-03  3.0383E-03  1.8638E-01  1.8617E-01  1.4235E+00  9.6453E+04  1.7192E-19  2.5220E-16  2.7910E-27  2.3395E+06  3.9290E+01  1.1709E-09  1.4545E-18  1.0890E-11  4.7862E+02  4.8075E-04  6.0076E-02  2.1501E-08  1.6546E-17  1.7165E-08  1.3870E+02  1.6549E-02  2.3675E+00  1.0141E+06  1.5632E-39  1.4440E+11  8.7042E+06  4.2775E-08  2.5941E+05  1.5892E+02  1.9894E-55  7.7201E-61  9.5785E-53  1.1129E-15  2.3349E-01  3.2534E+00  1.1496E-22  1.6153E-33  1.3994E-03  2.1420E-21  6.1367E-29  6.8821E-27  1.2067E-13  7.6932E-30  6.2097E-06  1.1239E+03  1.3915E+01  2.6271E-03  8.0354E+02  2.4818E-10  4.1773E-01  1.4240E-13  5.6263E-93  1.0829E-98  7.6666E-90  2.3031-180  5.0473E-90  3.2929E-90  1.3077E-89  8.2425-176  2.6748E-88
