           z           p           T        n<H>          He           H           C           N           O          Si          Mg          Al          Fe           S          Na           K          Ti          Ca
  3.6806E-01  2.4110E-02  1.0306E+03  2.8886E+11  2.4586E+10  4.9930E+06  3.1023E-18  1.2702E-08  2.1170E-04  2.1716E-05  9.7851E+06  1.8954E+03  8.1409E+06  1.4059E+04  4.2725E+05  3.4689E+04  7.5681E-07  5.8783E+05
  1.1042E+00  2.4110E-02  1.0306E+03  2.8886E+11  2.4586E+10  4.9930E+06  3.1023E-18  1.2702E-08  2.1170E-04  2.1716E-05  9.7851E+06  1.8954E+03  8.1409E+06  1.4059E+04  4.2725E+05  3.4689E+04  7.5681E-07  5.8783E+05
  2.5764E+00  2.4110E-02  1.0306E+03  2.8886E+11  2.4586E+10  4.9930E+06  3.1023E-18  1.2702E-08  2.1170E-04  2.1716E-05  9.7851E+06  1.8954E+03  8.1409E+06  1.4059E+04  4.2725E+05  3.4689E+04  7.5681E-07  5.8783E+05
  5.5209E+00  2.4111E-02  1.0306E+03  2.8886E+11  2.4586E+10  4.9930E+06  3.1023E-18  1.2702E-08  2.1170E-04  2.1716E-05  9.7852E+06  1.8954E+03  8.1410E+06  1.4059E+04  4.2725E+05  3.4689E+04  7.5681E-07  5.8783E+05
  1.1410E+01  2.4111E-02  1.0306E+03  2.8886E+11  2.4586E+10  4.9930E+06  3.1023E-18  1.2702E-08  2.1170E-04  2.1716E-05  9.7852E+06  1.8954E+03  8.1410E+06  1.4059E+04  4.2725E+05  3.4689E+04  7.5681E-07  5.8783E+05
  2.3188E+01  2.4111E-02  1.0306E+03  2.8886E+11  2.4586E+10  4.9930E+06  3.1023E-18  1.2702E-08  2.1170E-04  2.1716E-05  9.7852E+06  1.8954E+03  8.1410E+06  1.4059E+04  4.2725E+05  3.4689E+04  7.5682E-07  5.8784E+05
  4.6744E+01  2.4111E-02  1.0306E+03  2.8886E+11  2.4586E+10  4.9931E+06  3.1024E-18  1.2702E-08  2.1170E-04  2.1717E-05  9.7853E+06  1.8955E+03  8.1411E+06  1.4059E+04  4.2726E+05  3.4690E+04  7.5682E-07  5.8784E+05
  9.3855E+01  2.4112E-02  1.0306E+03  2.8887E+11  2.4587E+10  4.9931E+06  3.1024E-18  1.2703E-08  2.1170E-04  2.1717E-05  9.7856E+06  1.8955E+03  8.1413E+06  1.4059E+04  4.2727E+05  3.4690E+04  7.5683E-07  5.8785E+05
  1.8808E+02  2.4113E-02  1.0306E+03  2.8888E+11  2.4588E+10  4.9932E+06  3.1026E-18  1.2703E-08  2.1170E-04  2.1718E-05  9.7860E+06  1.8955E+03  8.1417E+06  1.4059E+04  4.2729E+05  3.4692E+04  7.5684E-07  5.8788E+05
  3.7653E+02  2.4115E-02  1.0306E+03  2.8891E+11  2.4590E+10  4.9934E+06  3.1028E-18  1.2703E-08  2.1170E-04  2.1720E-05  9.7868E+06  1.8956E+03  8.1424E+06  1.4059E+04  4.2732E+05  3.4695E+04  7.5688E-07  5.8793E+05
  7.5342E+02  2.4119E-02  1.0306E+03  2.8896E+11  2.4594E+10  4.9939E+06  3.1034E-18  1.2705E-08  2.1170E-04  2.1724E-05  9.7886E+06  1.8958E+03  8.1438E+06  1.4060E+04  4.2740E+05  3.4701E+04  7.5694E-07  5.8803E+05
  1.5072E+03  2.4127E-02  1.0306E+03  2.8906E+11  2.4603E+10  4.9948E+06  3.1045E-18  1.2707E-08  2.1170E-04  2.1731E-05  9.7920E+06  1.8961E+03  8.1466E+06  1.4060E+04  4.2755E+05  3.4713E+04  7.5707E-07  5.8824E+05
  3.0148E+03  2.4144E-02  1.0306E+03  2.8926E+11  2.4620E+10  4.9966E+06  3.1067E-18  1.2712E-08  2.1170E-04  2.1747E-05  9.7989E+06  1.8968E+03  8.1524E+06  1.4062E+04  4.2785E+05  3.4737E+04  7.5734E-07  5.8865E+05
  6.0299E+03  2.4178E-02  1.0306E+03  2.8967E+11  2.4655E+10  5.0001E+06  3.1112E-18  1.2721E-08  2.1171E-04  2.1777E-05  9.8126E+06  1.8982E+03  8.1638E+06  1.4065E+04  4.2845E+05  3.4786E+04  7.5786E-07  5.8948E+05
  1.2060E+04  2.4246E-02  1.0306E+03  2.9048E+11  2.4724E+10  5.0073E+06  3.1201E-18  1.2739E-08  2.1172E-04  2.1838E-05  9.8401E+06  1.9009E+03  8.1867E+06  1.4070E+04  4.2965E+05  3.4884E+04  7.5891E-07  5.9113E+05
  2.4121E+04  2.4382E-02  1.0306E+03  2.9211E+11  2.4863E+10  5.0216E+06  3.1381E-18  1.2777E-08  2.1175E-04  2.1960E-05  9.8954E+06  1.9064E+03  8.2327E+06  1.4082E+04  4.3207E+05  3.5080E+04  7.6102E-07  5.9445E+05
  4.8242E+04  2.4656E-02  1.0306E+03  2.9541E+11  2.5143E+10  5.0504E+06  3.1743E-18  1.2851E-08  2.1181E-04  2.2207E-05  1.0007E+07  1.9173E+03  8.3256E+06  1.4104E+04  4.3694E+05  3.5476E+04  7.6526E-07  6.0114E+05
  9.6484E+04  2.5213E-02  1.0306E+03  3.0211E+11  2.5713E+10  5.1084E+06  3.2479E-18  1.3002E-08  2.1192E-04  2.2709E-05  1.0234E+07  1.9395E+03  8.5144E+06  1.4150E+04  4.4685E+05  3.6281E+04  7.7381E-07  6.1476E+05
  1.7010E+05  2.6088E-02  1.0306E+03  3.1262E+11  2.6609E+10  5.1982E+06  3.3637E-18  1.3236E-08  2.1209E-04  2.3498E-05  1.0590E+07  1.9738E+03  8.8107E+06  1.4218E+04  4.6240E+05  3.7544E+04  7.8710E-07  6.3613E+05
  2.4371E+05  2.6994E-02  1.0306E+03  3.2351E+11  2.7535E+10  5.2896E+06  3.4835E-18  1.3474E-08  2.1226E-04  2.4314E-05  1.0959E+07  2.0087E+03  9.1174E+06  1.4285E+04  4.7850E+05  3.8852E+04  8.0067E-07  6.5825E+05
  3.1732E+05  2.7931E-02  1.0306E+03  3.3477E+11  2.8493E+10  5.3826E+06  3.6076E-18  1.3716E-08  2.1242E-04  2.5159E-05  1.1340E+07  2.0442E+03  9.4348E+06  1.4351E+04  4.9515E+05  4.0205E+04  8.1453E-07  6.8114E+05
  3.9093E+05  2.8900E-02  1.0306E+03  3.4642E+11  2.9485E+10  5.4773E+06  3.7362E-18  1.3962E-08  2.1259E-04  2.6033E-05  1.1735E+07  2.0803E+03  9.7632E+06  1.4416E+04  5.1239E+05  4.1605E+04  8.2868E-07  7.0482E+05
  4.6454E+05  2.9903E-02  1.0307E+03  3.5848E+11  3.0511E+10  5.5736E+06  3.8693E-18  1.4213E-08  2.1276E-04  2.6938E-05  1.2143E+07  2.1171E+03  1.0103E+07  1.4480E+04  5.3023E+05  4.3054E+04  8.4314E-07  7.2932E+05
  5.3816E+05  3.0941E-02  1.0307E+03  3.7096E+11  3.1574E+10  5.6716E+06  4.0072E-18  1.4468E-08  2.1293E-04  2.7874E-05  1.2566E+07  2.1545E+03  1.0455E+07  1.4543E+04  5.4868E+05  4.4554E+04  8.5790E-07  7.5468E+05
  6.1177E+05  3.2015E-02  1.0307E+03  3.8387E+11  3.2673E+10  5.7713E+06  4.1500E-18  1.4728E-08  2.1310E-04  2.8844E-05  1.3003E+07  2.1926E+03  1.0819E+07  1.4605E+04  5.6778E+05  4.6106E+04  8.7299E-07  7.8091E+05
  6.8538E+05  3.3126E-02  1.0307E+03  3.9723E+11  3.3810E+10  5.8728E+06  4.2979E-18  1.4993E-08  2.1327E-04  2.9847E-05  1.3456E+07  2.2314E+03  1.1195E+07  1.4666E+04  5.8755E+05  4.7711E+04  8.8839E-07  8.0806E+05
  7.5899E+05  3.4280E-02  1.0307E+03  4.1110E+11  3.4990E+10  5.9765E+06  4.4517E-18  1.5264E-08  2.1345E-04  3.0890E-05  1.3925E+07  2.2710E+03  1.1586E+07  1.4727E+04  6.0805E+05  4.9377E+04  9.0424E-07  8.3622E+05
  8.3260E+05  3.5485E-02  1.0307E+03  4.2557E+11  3.6222E+10  6.0834E+06  4.6135E-18  1.5545E-08  2.1367E-04  3.1982E-05  1.4415E+07  2.3119E+03  1.1994E+07  1.4789E+04  6.2946E+05  5.1116E+04  9.2081E-07  8.6562E+05
  9.0622E+05  3.6732E-02  1.0308E+03  4.4055E+11  3.7497E+10  6.1923E+06  4.7812E-18  1.5831E-08  2.1389E-04  3.3113E-05  1.4923E+07  2.3535E+03  1.2416E+07  1.4850E+04  6.5162E+05  5.2917E+04  9.3774E-07  8.9606E+05
  9.7983E+05  3.8023E-02  1.0308E+03  4.5606E+11  3.8817E+10  6.3030E+06  4.9549E-18  1.6122E-08  2.1411E-04  3.4284E-05  1.5448E+07  2.3959E+03  1.2853E+07  1.4910E+04  6.7456E+05  5.4780E+04  9.5504E-07  9.2756E+05
  1.0534E+06  3.9360E-02  1.0308E+03  4.7212E+11  4.0184E+10  6.4158E+06  5.1350E-18  1.6418E-08  2.1433E-04  3.5498E-05  1.5992E+07  2.4390E+03  1.3306E+07  1.4969E+04  6.9831E+05  5.6710E+04  9.7274E-07  9.6017E+05
  1.1271E+06  4.0743E-02  1.0308E+03  4.8874E+11  4.1598E+10  6.5306E+06  5.3216E-18  1.6721E-08  2.1455E-04  3.6754E-05  1.6555E+07  2.4830E+03  1.3774E+07  1.5027E+04  7.2289E+05  5.8707E+04  9.9083E-07  9.9393E+05
