 Teff =  2300.00  logg =  4.50  mixLengthPara =  2.00  Abschluss =  8  beta =  2.20  pconv[bar] =  0.29
           6           7
 
           p         pel           T          a1          a2          N1          N2
  2.4110E-08  5.8153E-18  1.0306E+03  1.9564E-07  1.9564E-07  5.0330E-24  0.0000E+00
  2.4110E-08  5.8153E-18  1.0306E+03  1.9564E-07  1.9564E-07  1.5099E-23  0.0000E+00
  2.4110E-08  5.8153E-18  1.0306E+03  1.9564E-07  1.9222E-07  3.5231E-23  1.1383E-34
  2.4111E-08  5.8153E-18  1.0306E+03  1.9564E-07  1.9564E-07  7.5495E-23  0.0000E+00
  2.4111E-08  5.8153E-18  1.0306E+03  1.9564E-07  1.9564E-07  1.5602E-22  0.0000E+00
  2.4111E-08  5.8153E-18  1.0306E+03  1.9564E-07  1.9564E-07  3.1709E-22  0.0000E+00
  2.4111E-08  5.8154E-18  1.0306E+03  1.9564E-07  1.9564E-07  6.3923E-22  0.0000E+00
  2.4112E-08  5.8154E-18  1.0306E+03  1.9564E-07  1.9564E-07  1.2836E-21  0.0000E+00
  2.4113E-08  5.8156E-18  1.0306E+03  1.9564E-07  1.9564E-07  2.5724E-21  0.0000E+00
  2.4115E-08  5.8158E-18  1.0306E+03  1.9564E-07  1.9564E-07  5.1511E-21  0.0000E+00
  2.4119E-08  5.8163E-18  1.0306E+03  1.9564E-07  1.9564E-07  1.0312E-20  0.0000E+00
  2.4127E-08  5.8174E-18  1.0306E+03  1.9564E-07  1.9564E-07  2.0648E-20  0.0000E+00
  2.4144E-08  5.8195E-18  1.0306E+03  1.9564E-07  1.9564E-07  4.1375E-20  0.0000E+00
  2.4178E-08  5.8236E-18  1.0306E+03  1.9564E-07  1.9564E-07  8.3058E-20  0.0000E+00
  2.4246E-08  5.8319E-18  1.0306E+03  1.9566E-07  1.9564E-07  1.6705E-19  2.9044E-22
  2.4382E-08  5.8486E-18  1.0306E+03  1.9564E-07  1.9564E-07  3.3960E-19  0.0000E+00
  2.4656E-08  5.8822E-18  1.0306E+03  1.9564E-07  1.9564E-07  6.9938E-19  0.0000E+00
  2.5213E-08  5.9498E-18  1.0306E+03  1.9565E-07  1.9565E-07  1.4836E-18  0.0000E+00
  2.6088E-08  6.0546E-18  1.0306E+03  1.9566E-07  1.8785E-07  2.8636E-18  4.6051E-24
  2.6994E-08  6.1612E-18  1.0306E+03  1.9567E-07  1.9567E-07  4.4966E-18  0.0000E+00
  2.7931E-08  6.2696E-18  1.0306E+03  2.7954E-07  1.9568E-07  6.4230E-18  2.5353E-25
  2.8900E-08  6.3800E-18  1.0306E+03  2.7499E-07  1.9569E-07  8.6896E-18  8.5170E-25
  2.9903E-08  6.4923E-18  1.0307E+03  2.3090E-07  1.9570E-07  1.1350E-17  1.0510E-23
  3.0941E-08  6.6066E-18  1.0307E+03  2.2241E-07  1.9571E-07  1.4467E-17  3.5340E-23
  3.2015E-08  6.7229E-18  1.0307E+03  1.9573E-07  6.6949E-08  1.8112E-17  1.7110E-23
  3.3126E-08  6.8412E-18  1.0307E+03  1.9574E-07  1.3258E-07  2.2369E-17  4.2772E-23
  3.4280E-08  6.9622E-18  1.0307E+03  1.9576E-07  4.4946E-08  2.7336E-17  5.7587E-23
  3.5485E-08  7.0869E-18  1.0307E+03  1.9577E-07  5.3238E-08  3.3137E-17  8.0753E-23
  3.6732E-08  7.2138E-18  1.0308E+03  1.9579E-07  1.6959E-07  3.9898E-17  6.5570E-22
  3.8023E-08  7.3430E-18  1.0308E+03  1.9581E-07  1.7650E-07  4.7770E-17  1.7023E-21
  3.9360E-08  7.4745E-18  1.0308E+03  1.9583E-07  1.7709E-07  5.6929E-17  2.6670E-21
