 Teff =  2300.00  logg =  4.50  mixLengthPara =  2.00  Abschluss =  8  beta =  2.20  pconv[bar] =  0.29
           6           7
 
           z           T        n<H>         rho           p        wmix        tau n_H         n_Mg        n_Fe        n_Al        n_Ti        n_TIO       n_TIO2      n_TIS       n_SIO       n_SIO2      n_SIS       n_H2O       n_H2        n_H2S       n_MGO       n_MGOH      n_MG(OH)2   n_FEO       n_FES       n_FE(OH)2   n_ALOH      n_ALH       n_AL2O      n_ALS       n_ALO2H              pel
  3.6806E-01  1.0306E+03  2.8886E+11  6.5412E-13  2.4110E-02  7.7561E-20  0.0000E+00  4.9930E+06  9.7851E+06  8.1409E+06  1.8954E+03  7.5681E-07  2.3347E-01  3.2531E+00  1.3993E-03  8.3333E+06  6.5486E-01  1.0139E+06  5.2195E+07  1.4437E+11  2.3390E+06  3.3688E-01  2.1353E+03  1.8020E-02  7.1449E-01  1.5889E+02  3.8310E-02  3.6541E+05  3.2551E+00  1.5178E+05  3.5294E+03  2.7267E+03  5.8153E-12
  1.1042E+00  1.0306E+03  2.8886E+11  6.5412E-13  2.4110E-02  7.7561E-20  0.0000E+00  4.9930E+06  9.7851E+06  8.1409E+06  1.8954E+03  7.5681E-07  2.3347E-01  3.2531E+00  1.3993E-03  8.3333E+06  6.5486E-01  1.0139E+06  5.2195E+07  1.4437E+11  2.3390E+06  3.3688E-01  2.1353E+03  1.8020E-02  7.1449E-01  1.5889E+02  3.8310E-02  3.6541E+05  3.2551E+00  1.5178E+05  3.5294E+03  2.7267E+03  5.8153E-12
  2.5764E+00  1.0306E+03  2.8886E+11  6.5412E-13  2.4110E-02  7.7561E-20  0.0000E+00  4.9930E+06  9.7851E+06  8.1409E+06  1.8954E+03  7.5681E-07  2.3347E-01  3.2531E+00  1.3993E-03  8.3334E+06  6.5486E-01  1.0139E+06  5.2195E+07  1.4437E+11  2.3390E+06  3.3688E-01  2.1353E+03  1.8020E-02  7.1449E-01  1.5889E+02  3.8311E-02  3.6541E+05  3.2551E+00  1.5178E+05  3.5294E+03  2.7267E+03  5.8153E-12
  5.5209E+00  1.0306E+03  2.8886E+11  6.5412E-13  2.4111E-02  7.7562E-20  0.0000E+00  4.9930E+06  9.7852E+06  8.1410E+06  1.8954E+03  7.5681E-07  2.3347E-01  3.2532E+00  1.3993E-03  8.3334E+06  6.5486E-01  1.0139E+06  5.2195E+07  1.4437E+11  2.3390E+06  3.3688E-01  2.1353E+03  1.8020E-02  7.1449E-01  1.5889E+02  3.8311E-02  3.6542E+05  3.2551E+00  1.5178E+05  3.5294E+03  2.7267E+03  5.8153E-12
  1.1410E+01  1.0306E+03  2.8886E+11  6.5412E-13  2.4111E-02  7.7562E-20  0.0000E+00  4.9930E+06  9.7852E+06  8.1410E+06  1.8954E+03  7.5681E-07  2.3347E-01  3.2532E+00  1.3993E-03  8.3334E+06  6.5486E-01  1.0139E+06  5.2196E+07  1.4437E+11  2.3390E+06  3.3688E-01  2.1353E+03  1.8020E-02  7.1449E-01  1.5889E+02  3.8311E-02  3.6542E+05  3.2551E+00  1.5178E+05  3.5294E+03  2.7268E+03  5.8153E-12
  2.3188E+01  1.0306E+03  2.8886E+11  6.5412E-13  2.4111E-02  7.7563E-20  0.0000E+00  4.9930E+06  9.7852E+06  8.1410E+06  1.8954E+03  7.5682E-07  2.3347E-01  3.2532E+00  1.3993E-03  8.3334E+06  6.5487E-01  1.0139E+06  5.2196E+07  1.4437E+11  2.3390E+06  3.3688E-01  2.1354E+03  1.8021E-02  7.1450E-01  1.5889E+02  3.8311E-02  3.6542E+05  3.2551E+00  1.5178E+05  3.5294E+03  2.7268E+03  5.8153E-12
  4.6744E+01  1.0306E+03  2.8886E+11  6.5413E-13  2.4111E-02  7.7565E-20  0.0000E+00  4.9931E+06  9.7853E+06  8.1411E+06  1.8955E+03  7.5682E-07  2.3347E-01  3.2532E+00  1.3993E-03  8.3335E+06  6.5487E-01  1.0139E+06  5.2196E+07  1.4437E+11  2.3391E+06  3.3689E-01  2.1354E+03  1.8021E-02  7.1451E-01  1.5890E+02  3.8312E-02  3.6542E+05  3.2552E+00  1.5178E+05  3.5294E+03  2.7268E+03  5.8154E-12
  9.3855E+01  1.0306E+03  2.8887E+11  6.5414E-13  2.4112E-02  7.7568E-20  0.0000E+00  4.9931E+06  9.7856E+06  8.1413E+06  1.8955E+03  7.5683E-07  2.3347E-01  3.2532E+00  1.3993E-03  8.3337E+06  6.5489E-01  1.0139E+06  5.2198E+07  1.4438E+11  2.3391E+06  3.3689E-01  2.1355E+03  1.8022E-02  7.1452E-01  1.5890E+02  3.8314E-02  3.6543E+05  3.2552E+00  1.5179E+05  3.5294E+03  2.7269E+03  5.8154E-12
  1.8808E+02  1.0306E+03  2.8888E+11  6.5417E-13  2.4113E-02  7.7576E-20  0.0000E+00  4.9932E+06  9.7860E+06  8.1417E+06  1.8955E+03  7.5684E-07  2.3348E-01  3.2533E+00  1.3994E-03  8.3341E+06  6.5492E-01  1.0140E+06  5.2200E+07  1.4438E+11  2.3392E+06  3.3691E-01  2.1356E+03  1.8023E-02  7.1455E-01  1.5891E+02  3.8317E-02  3.6545E+05  3.2554E+00  1.5179E+05  3.5295E+03  2.7270E+03  5.8156E-12
  3.7653E+02  1.0306E+03  2.8891E+11  6.5423E-13  2.4115E-02  7.7591E-20  0.0000E+00  4.9934E+06  9.7868E+06  8.1424E+06  1.8956E+03  7.5688E-07  2.3349E-01  3.2534E+00  1.3994E-03  8.3348E+06  6.5497E-01  1.0141E+06  5.2204E+07  1.4440E+11  2.3395E+06  3.3694E-01  2.1359E+03  1.8027E-02  7.1462E-01  1.5892E+02  3.8324E-02  3.6548E+05  3.2557E+00  1.5181E+05  3.5297E+03  2.7272E+03  5.8158E-12
