#           wl        cont         all         h2o      planck
    24.9818844  1.7797E+04  1.3434E+04  1.3507E+04  1.7732E+04
    24.9444406  1.7902E+04  1.4102E+04  1.4102E+04  1.7836E+04
    24.9070529  1.8007E+04  1.3938E+04  1.3939E+04  1.7940E+04
    24.8697212  1.8113E+04  1.4374E+04  1.4384E+04  1.8046E+04
    24.8324455  1.8219E+04  1.4417E+04  1.4418E+04  1.8151E+04
    24.7952257  1.8326E+04  1.5034E+04  1.5083E+04  1.8258E+04
    24.7580617  1.8434E+04  1.4611E+04  1.4611E+04  1.8365E+04
    24.7209534  1.8542E+04  1.5034E+04  1.5040E+04  1.8472E+04
    24.6839007  1.8651E+04  1.4893E+04  1.4893E+04  1.8581E+04
    24.6469035  1.8761E+04  1.5426E+04  1.5492E+04  1.8690E+04
    24.6099618  1.8871E+04  1.5077E+04  1.5087E+04  1.8799E+04
    24.5730754  1.8982E+04  1.5556E+04  1.5556E+04  1.8909E+04
    24.5362444  1.9094E+04  1.4939E+04  1.4951E+04  1.9020E+04
    24.4994685  1.9206E+04  1.5045E+04  1.5049E+04  1.9132E+04
    24.4627478  1.9318E+04  1.4693E+04  1.4693E+04  1.9244E+04
    24.4260821  1.9432E+04  1.4947E+04  1.4947E+04  1.9356E+04
    24.3894713  1.9546E+04  1.4751E+04  1.4809E+04  1.9470E+04
    24.3529155  1.9661E+04  1.5678E+04  1.5794E+04  1.9584E+04
    24.3164144  1.9776E+04  1.5316E+04  1.5316E+04  1.9699E+04
    24.2799680  1.9892E+04  1.5897E+04  1.5990E+04  1.9814E+04
    24.2435763  2.0009E+04  1.6003E+04  1.6003E+04  1.9930E+04
    24.2072391  2.0127E+04  1.5985E+04  1.6049E+04  2.0047E+04
    24.1709563  2.0245E+04  1.6123E+04  1.6152E+04  2.0164E+04
    24.1347280  2.0364E+04  1.6648E+04  1.6750E+04  2.0282E+04
    24.0985539  2.0483E+04  1.6126E+04  1.6126E+04  2.0401E+04
    24.0624341  2.0604E+04  1.5777E+04  1.5859E+04  2.0521E+04
    24.0263684  2.0725E+04  1.6595E+04  1.6595E+04  2.0641E+04
    23.9903568  2.0846E+04  1.5636E+04  1.5786E+04  2.0762E+04
    23.9543991  2.0969E+04  1.6591E+04  1.6591E+04  2.0883E+04
    23.9184954  2.1092E+04  1.6428E+04  1.6428E+04  2.1006E+04
    23.8826454  2.1216E+04  1.6967E+04  1.6968E+04  2.1129E+04
    23.8468492  2.1340E+04  1.6522E+04  1.6524E+04  2.1252E+04
    23.8111066  2.1465E+04  1.7595E+04  1.7625E+04  2.1377E+04
    23.7754176  2.1591E+04  1.6903E+04  1.6903E+04  2.1502E+04
    23.7397821  2.1718E+04  1.7201E+04  1.7201E+04  2.1628E+04
    23.7042000  2.1846E+04  1.7740E+04  1.7742E+04  2.1755E+04
