#           wl        cont         all         h2o      planck
    24.9818844  1.8065E+04  1.4343E+04  1.4516E+04  1.7732E+04
    24.9444406  1.8171E+04  1.4067E+04  1.4083E+04  1.7836E+04
    24.9070529  1.8278E+04  1.4863E+04  1.4864E+04  1.7940E+04
    24.8697212  1.8385E+04  1.4409E+04  1.4429E+04  1.8046E+04
    24.8324455  1.8493E+04  1.3381E+04  1.3381E+04  1.8151E+04
    24.7952257  1.8602E+04  1.4598E+04  1.4604E+04  1.8258E+04
    24.7580617  1.8711E+04  1.4464E+04  1.4464E+04  1.8365E+04
    24.7209534  1.8821E+04  1.4645E+04  1.4645E+04  1.8472E+04
    24.6839007  1.8932E+04  1.4502E+04  1.4502E+04  1.8581E+04
    24.6469035  1.9043E+04  1.5055E+04  1.5092E+04  1.8690E+04
    24.6099618  1.9155E+04  1.4435E+04  1.4440E+04  1.8799E+04
    24.5730754  1.9268E+04  1.5169E+04  1.5169E+04  1.8909E+04
    24.5362444  1.9381E+04  1.5094E+04  1.5094E+04  1.9020E+04
    24.4994685  1.9495E+04  1.5530E+04  1.5530E+04  1.9132E+04
    24.4627478  1.9609E+04  1.6338E+04  1.6338E+04  1.9244E+04
    24.4260821  1.9725E+04  1.5905E+04  1.5905E+04  1.9356E+04
    24.3894713  1.9840E+04  1.5017E+04  1.5018E+04  1.9470E+04
    24.3529155  1.9957E+04  1.5698E+04  1.5705E+04  1.9584E+04
    24.3164144  2.0074E+04  1.6167E+04  1.6167E+04  1.9699E+04
    24.2799680  2.0192E+04  1.5661E+04  1.5694E+04  1.9814E+04
    24.2435763  2.0311E+04  1.4681E+04  1.4681E+04  1.9930E+04
    24.2072391  2.0430E+04  1.5520E+04  1.5538E+04  2.0047E+04
    24.1709563  2.0550E+04  1.5113E+04  1.5338E+04  2.0164E+04
    24.1347280  2.0671E+04  1.5752E+04  1.5758E+04  2.0282E+04
    24.0985539  2.0792E+04  1.5963E+04  1.5963E+04  2.0401E+04
    24.0624341  2.0914E+04  1.5900E+04  1.5932E+04  2.0521E+04
    24.0263684  2.1037E+04  1.6496E+04  1.6497E+04  2.0641E+04
    23.9903568  2.1161E+04  1.6321E+04  1.6492E+04  2.0762E+04
    23.9543991  2.1285E+04  1.6185E+04  1.6185E+04  2.0883E+04
    23.9184954  2.1410E+04  1.6181E+04  1.6181E+04  2.1006E+04
    23.8826454  2.1536E+04  1.6693E+04  1.6697E+04  2.1129E+04
    23.8468492  2.1662E+04  1.6439E+04  1.6439E+04  2.1252E+04
    23.8111066  2.1790E+04  1.6976E+04  1.7046E+04  2.1377E+04
    23.7754176  2.1917E+04  1.6678E+04  1.6749E+04  2.1502E+04
    23.7397821  2.2046E+04  1.8149E+04  1.8150E+04  2.1628E+04
    23.7042000  2.2176E+04  1.6443E+04  1.6443E+04  2.1755E+04
    23.6686713  2.2306E+04  1.6845E+04  1.6845E+04  2.1882E+04
    23.6331958  2.2437E+04  1.6640E+04  1.6640E+04  2.2010E+04
    23.5977734  2.2568E+04  1.7428E+04  1.7428E+04  2.2139E+04
    23.5624042  2.2701E+04  1.7744E+04  1.7744E+04  2.2268E+04
    23.5270880  2.2834E+04  1.6373E+04  1.6373E+04  2.2399E+04
    23.4918247  2.2968E+04  1.8620E+04  1.8620E+04  2.2530E+04
    23.4566142  2.3103E+04  1.7906E+04  1.7906E+04  2.2662E+04
    23.4214566  2.3239E+04  1.8247E+04  1.8247E+04  2.2794E+04
    23.3863516  2.3375E+04  1.8721E+04  1.8759E+04  2.2928E+04
    23.3512992  2.3512E+04  1.8192E+04  1.8206E+04  2.3062E+04
    23.3162994  2.3650E+04  1.8633E+04  1.8639E+04  2.3197E+04
    23.2813521  2.3789E+04  1.8435E+04  1.8440E+04  2.3333E+04
    23.2464571  2.3929E+04  1.7677E+04  1.7732E+04  2.3469E+04
    23.2116144  2.4069E+04  1.8072E+04  1.8524E+04  2.3606E+04
    23.1768239  2.4210E+04  1.9047E+04  1.9052E+04  2.3745E+04
    23.1420856  2.4352E+04  1.7982E+04  1.7982E+04  2.3884E+04
    23.1073994  2.4495E+04  1.9759E+04  1.9975E+04  2.4023E+04
    23.0727651  2.4639E+04  1.8359E+04  1.8707E+04  2.4164E+04
    23.0381828  2.4783E+04  1.9464E+04  1.9465E+04  2.4305E+04
    23.0036523  2.4929E+04  1.9234E+04  1.9234E+04  2.4447E+04
    22.9691735  2.5075E+04  2.0130E+04  2.0240E+04  2.4590E+04
    22.9347465  2.5222E+04  2.0042E+04  2.0042E+04  2.4734E+04
    22.9003710  2.5370E+04  1.9685E+04  1.9685E+04  2.4879E+04
    22.8660471  2.5519E+04  2.0415E+04  2.0415E+04  2.5024E+04
    22.8317745  2.5668E+04  1.9545E+04  1.9545E+04  2.5171E+04
    22.7975534  2.5819E+04  2.0022E+04  2.0022E+04  2.5318E+04
    22.7633836  2.5970E+04  1.9515E+04  1.9533E+04  2.5466E+04
    22.7292650  2.6123E+04  2.0661E+04  2.0794E+04  2.5615E+04
    22.6951975  2.6276E+04  2.0718E+04  2.0721E+04  2.5764E+04
    22.6611810  2.6430E+04  2.0799E+04  2.0808E+04  2.5915E+04
    22.6272156  2.6585E+04  2.0320E+04  2.0321E+04  2.6067E+04
    22.5933011  2.6741E+04  2.0361E+04  2.0361E+04  2.6219E+04
    22.5594374  2.6898E+04  2.1184E+04  2.1184E+04  2.6372E+04
    22.5256244  2.7055E+04  2.1873E+04  2.1873E+04  2.6526E+04
    22.4918622  2.7214E+04  2.0722E+04  2.0722E+04  2.6682E+04
    22.4581505  2.7374E+04  2.1547E+04  2.1547E+04  2.6838E+04
    22.4244894  2.7534E+04  2.1457E+04  2.1466E+04  2.6994E+04
    22.3908787  2.7696E+04  2.1619E+04  2.1619E+04  2.7152E+04
    22.3573184  2.7858E+04  2.1208E+04  2.1317E+04  2.7311E+04
    22.3238084  2.8021E+04  2.1318E+04  2.1435E+04  2.7470E+04
    22.2903486  2.8186E+04  2.1876E+04  2.2206E+04  2.7631E+04
    22.2569390  2.8351E+04  2.0980E+04  2.0980E+04  2.7792E+04
    22.2235794  2.8517E+04  2.2233E+04  2.2237E+04  2.7955E+04
    22.1902699  2.8684E+04  2.2857E+04  2.2894E+04  2.8118E+04
    22.1570103  2.8852E+04  2.2893E+04  2.2893E+04  2.8282E+04
    22.1238005  2.9021E+04  2.2513E+04  2.2516E+04  2.8448E+04
    22.0906405  2.9191E+04  2.1185E+04  2.1185E+04  2.8614E+04
    22.0575302  2.9362E+04  2.2460E+04  2.2460E+04  2.8781E+04
    22.0244695  2.9534E+04  2.2820E+04  2.2844E+04  2.8949E+04
    21.9914584  2.9707E+04  2.2403E+04  2.2403E+04  2.9118E+04
    21.9584968  2.9881E+04  2.2833E+04  2.2833E+04  2.9288E+04
    21.9255845  3.0056E+04  2.2782E+04  2.2784E+04  2.9459E+04
    21.8927216  3.0233E+04  2.3892E+04  2.3892E+04  2.9632E+04
    21.8599080  3.0410E+04  2.3115E+04  2.3115E+04  2.9805E+04
    21.8271435  3.0588E+04  2.5224E+04  2.5228E+04  2.9979E+04
    21.7944282  3.0767E+04  2.3998E+04  2.4189E+04  3.0154E+04
    21.7617619  3.0947E+04  2.3033E+04  2.3034E+04  3.0330E+04
    21.7291445  3.1128E+04  2.4018E+04  2.4245E+04  3.0507E+04
    21.6965760  3.1311E+04  2.3466E+04  2.3628E+04  3.0685E+04
    21.6640564  3.1494E+04  2.4262E+04  2.4272E+04  3.0864E+04
    21.6315855  3.1679E+04  2.4027E+04  2.4028E+04  3.1044E+04
    21.5991632  3.1864E+04  2.4902E+04  2.4903E+04  3.1226E+04
    21.5667896  3.2051E+04  2.4366E+04  2.4773E+04  3.1408E+04
    21.5344644  3.2238E+04  2.4705E+04  2.4706E+04  3.1591E+04
    21.5021878  3.2427E+04  2.4211E+04  2.4222E+04  3.1776E+04
    21.4699595  3.2617E+04  2.5027E+04  2.5334E+04  3.1961E+04
    21.4377795  3.2808E+04  2.4313E+04  2.4313E+04  3.2148E+04
    21.4056477  3.3000E+04  2.5618E+04  2.5880E+04  3.2335E+04
    21.3735641  3.3193E+04  2.5818E+04  2.5820E+04  3.2524E+04
    21.3415286  3.3388E+04  2.6224E+04  2.6300E+04  3.2714E+04
    21.3095411  3.3583E+04  2.4980E+04  2.4990E+04  3.2905E+04
    21.2776016  3.3780E+04  2.5432E+04  2.5485E+04  3.3097E+04
    21.2457099  3.3977E+04  2.5318E+04  2.5318E+04  3.3290E+04
    21.2138660  3.4176E+04  2.6508E+04  2.6508E+04  3.3484E+04
    21.1820698  3.4376E+04  2.6422E+04  2.6422E+04  3.3679E+04
    21.1503213  3.4578E+04  2.6636E+04  2.6636E+04  3.3876E+04
    21.1186204  3.4780E+04  2.7192E+04  2.7192E+04  3.4074E+04
    21.0869670  3.4983E+04  2.7061E+04  2.7067E+04  3.4272E+04
    21.0553611  3.5188E+04  2.6637E+04  2.6649E+04  3.4472E+04
    21.0238025  3.5394E+04  2.7279E+04  2.7284E+04  3.4673E+04
    20.9922912  3.5601E+04  2.7527E+04  2.7578E+04  3.4876E+04
    20.9608272  3.5810E+04  2.6988E+04  2.6988E+04  3.5079E+04
    20.9294103  3.6019E+04  2.6248E+04  2.6361E+04  3.5284E+04
    20.8980405  3.6230E+04  2.7447E+04  2.7609E+04  3.5489E+04
    20.8667177  3.6442E+04  2.7766E+04  2.7898E+04  3.5696E+04
    20.8354419  3.6655E+04  2.8669E+04  2.8846E+04  3.5904E+04
    20.8042129  3.6869E+04  2.8711E+04  2.8732E+04  3.6114E+04
    20.7730308  3.7085E+04  2.8334E+04  2.8336E+04  3.6324E+04
    20.7418954  3.7302E+04  2.8214E+04  2.8214E+04  3.6536E+04
    20.7108066  3.7520E+04  2.9123E+04  2.9124E+04  3.6749E+04
    20.6797645  3.7740E+04  2.9849E+04  2.9850E+04  3.6963E+04
    20.6487689  3.7960E+04  2.8139E+04  2.8139E+04  3.7179E+04
    20.6178197  3.8182E+04  2.9651E+04  2.9651E+04  3.7396E+04
    20.5869169  3.8406E+04  2.9591E+04  2.9592E+04  3.7614E+04
    20.5560605  3.8630E+04  2.9678E+04  2.9678E+04  3.7833E+04
    20.5252503  3.8856E+04  3.0180E+04  3.0181E+04  3.8053E+04
    20.4944862  3.9083E+04  3.0400E+04  3.0505E+04  3.8275E+04
    20.4637683  3.9312E+04  2.9749E+04  3.0023E+04  3.8498E+04
    20.4330965  3.9542E+04  2.9825E+04  2.9897E+04  3.8722E+04
    20.4024706  3.9773E+04  3.0967E+04  3.0970E+04  3.8948E+04
    20.3718905  4.0005E+04  3.1818E+04  3.1838E+04  3.9175E+04
    20.3413564  4.0239E+04  3.0038E+04  3.0038E+04  3.9403E+04
    20.3108680  4.0475E+04  3.1394E+04  3.1399E+04  3.9633E+04
    20.2804253  4.0711E+04  3.2138E+04  3.2138E+04  3.9864E+04
    20.2500282  4.0949E+04  3.2196E+04  3.2198E+04  4.0096E+04
    20.2196767  4.1188E+04  3.0178E+04  3.0178E+04  4.0330E+04
    20.1893707  4.1429E+04  3.1264E+04  3.1264E+04  4.0565E+04
    20.1591101  4.1671E+04  3.2921E+04  3.3203E+04  4.0801E+04
    20.1288948  4.1915E+04  3.2257E+04  3.2563E+04  4.1038E+04
    20.0987249  4.2160E+04  3.2929E+04  3.2930E+04  4.1277E+04
    20.0686001  4.2406E+04  3.2430E+04  3.2922E+04  4.1518E+04
    20.0385206  4.2654E+04  3.2193E+04  3.2478E+04  4.1760E+04
    20.0084860  4.2903E+04  3.3100E+04  3.3344E+04  4.2003E+04
    19.9784966  4.3154E+04  3.4203E+04  3.4203E+04  4.2247E+04
    19.9485520  4.3406E+04  3.3967E+04  3.4060E+04  4.2493E+04
    19.9186524  4.3660E+04  3.3917E+04  3.3955E+04  4.2741E+04
    19.8887976  4.3915E+04  3.3192E+04  3.3192E+04  4.2990E+04
    19.8589875  4.4171E+04  3.4266E+04  3.4266E+04  4.3240E+04
    19.8292221  4.4429E+04  3.3988E+04  3.3989E+04  4.3492E+04
    19.7995013  4.4689E+04  3.4147E+04  3.4148E+04  4.3745E+04
    19.7698250  4.4950E+04  3.5770E+04  3.5770E+04  4.4000E+04
    19.7401933  4.5212E+04  3.3864E+04  3.3865E+04  4.4256E+04
    19.7106059  4.5476E+04  3.3841E+04  3.3841E+04  4.4513E+04
    19.6810629  4.5742E+04  3.5913E+04  3.5917E+04  4.4772E+04
    19.6515642  4.6009E+04  3.6388E+04  3.6399E+04  4.5033E+04
    19.6221097  4.6278E+04  3.5786E+04  3.5938E+04  4.5295E+04
    19.5926993  4.6548E+04  3.6358E+04  3.6458E+04  4.5558E+04
    19.5633330  4.6820E+04  3.4251E+04  3.4668E+04  4.5823E+04
    19.5340107  4.7093E+04  3.6667E+04  3.6667E+04  4.6090E+04
    19.5047324  4.7368E+04  3.3826E+04  3.3826E+04  4.6358E+04
    19.4754980  4.7645E+04  3.6866E+04  3.6866E+04  4.6628E+04
    19.4463074  4.7923E+04  3.6485E+04  3.6487E+04  4.6899E+04
    19.4171605  4.8202E+04  3.8418E+04  3.8425E+04  4.7172E+04
    19.3880573  4.8484E+04  3.6049E+04  3.6051E+04  4.7446E+04
    19.3589978  4.8767E+04  3.6502E+04  3.6502E+04  4.7722E+04
    19.3299817  4.9052E+04  3.7426E+04  3.7544E+04  4.8000E+04
    19.3010092  4.9338E+04  3.7188E+04  3.7189E+04  4.8279E+04
    19.2720801  4.9626E+04  3.9875E+04  4.0063E+04  4.8560E+04
    19.2431944  4.9915E+04  3.8478E+04  3.8709E+04  4.8842E+04
    19.2143520  5.0207E+04  3.6854E+04  3.6864E+04  4.9126E+04
    19.1855528  5.0500E+04  3.8507E+04  3.8508E+04  4.9412E+04
    19.1567967  5.0794E+04  3.8923E+04  3.8924E+04  4.9699E+04
    19.1280838  5.1091E+04  4.0380E+04  4.0519E+04  4.9988E+04
    19.0994139  5.1389E+04  4.0688E+04  4.0950E+04  5.0279E+04
    19.0707870  5.1688E+04  4.0444E+04  4.0490E+04  5.0571E+04
    19.0422030  5.1990E+04  4.1049E+04  4.1060E+04  5.0865E+04
    19.0136618  5.2293E+04  4.0237E+04  4.0239E+04  5.1161E+04
    18.9851634  5.2598E+04  3.9136E+04  3.9139E+04  5.1458E+04
    18.9567077  5.2905E+04  3.8835E+04  3.9043E+04  5.1757E+04
    18.9282946  5.3214E+04  4.1659E+04  4.1660E+04  5.2058E+04
    18.8999242  5.3524E+04  4.1656E+04  4.1657E+04  5.2360E+04
    18.8715963  5.3836E+04  4.2904E+04  4.3134E+04  5.2665E+04
    18.8433108  5.4150E+04  4.1980E+04  4.2814E+04  5.2971E+04
    18.8150677  5.4466E+04  4.2053E+04  4.2054E+04  5.3278E+04
    18.7868670  5.4784E+04  4.1207E+04  4.1765E+04  5.3588E+04
    18.7587085  5.5103E+04  4.1364E+04  4.1383E+04  5.3899E+04
    18.7305923  5.5424E+04  4.2466E+04  4.2467E+04  5.4212E+04
    18.7025181  5.5747E+04  4.1763E+04  4.1775E+04  5.4527E+04
    18.6744861  5.6072E+04  4.2724E+04  4.2725E+04  5.4844E+04
    18.6464960  5.6399E+04  4.4066E+04  4.4067E+04  5.5163E+04
    18.6185480  5.6728E+04  4.4326E+04  4.4328E+04  5.5483E+04
    18.5906418  5.7059E+04  4.4385E+04  4.4393E+04  5.5805E+04
    18.5627774  5.7391E+04  4.2042E+04  4.2043E+04  5.6129E+04
    18.5349548  5.7726E+04  4.3997E+04  4.4001E+04  5.6455E+04
    18.5071739  5.8062E+04  4.3777E+04  4.4544E+04  5.6783E+04
    18.4794346  5.8401E+04  4.4805E+04  4.4806E+04  5.7113E+04
    18.4517370  5.8741E+04  4.3536E+04  4.4092E+04  5.7444E+04
    18.4240808  5.9083E+04  4.6353E+04  4.6355E+04  5.7778E+04
    18.3964661  5.9428E+04  4.5647E+04  4.5648E+04  5.8113E+04
    18.3688928  5.9774E+04  4.3576E+04  4.3579E+04  5.8451E+04
    18.3413608  6.0122E+04  4.7432E+04  4.7434E+04  5.8790E+04
    18.3138701  6.0473E+04  4.7336E+04  4.7641E+04  5.9131E+04
    18.2864205  6.0825E+04  4.8263E+04  4.8652E+04  5.9474E+04
    18.2590122  6.1179E+04  4.6736E+04  4.6738E+04  5.9820E+04
    18.2316448  6.1536E+04  4.6483E+04  4.6510E+04  6.0167E+04
    18.2043186  6.1894E+04  4.8577E+04  4.8581E+04  6.0516E+04
    18.1770332  6.2254E+04  4.6401E+04  4.6410E+04  6.0867E+04
    18.1497888  6.2617E+04  4.6312E+04  4.6376E+04  6.1220E+04
    18.1225852  6.2982E+04  4.7846E+04  4.8080E+04  6.1575E+04
    18.0954224  6.3349E+04  4.9147E+04  4.9149E+04  6.1933E+04
    18.0683003  6.3718E+04  4.7178E+04  4.7180E+04  6.2292E+04
    18.0412188  6.4089E+04  5.2388E+04  5.2390E+04  6.2653E+04
    18.0141779  6.4462E+04  5.0081E+04  5.0084E+04  6.3017E+04
    17.9871776  6.4837E+04  4.8490E+04  4.8491E+04  6.3382E+04
    17.9602177  6.5215E+04  4.9630E+04  4.9633E+04  6.3750E+04
    17.9332983  6.5594E+04  4.8853E+04  4.8855E+04  6.4120E+04
