#           wl        cont         all         h2o      planck
    24.9818844  1.7336E+04  1.3693E+04  1.3753E+04  1.7732E+04
    24.9444406  1.7438E+04  1.4473E+04  1.4473E+04  1.7836E+04
    24.9070529  1.7540E+04  1.4296E+04  1.4296E+04  1.7940E+04
    24.8697212  1.7643E+04  1.4556E+04  1.4567E+04  1.8046E+04
    24.8324455  1.7747E+04  1.4828E+04  1.4851E+04  1.8151E+04
    24.7952257  1.7851E+04  1.5386E+04  1.5386E+04  1.8258E+04
    24.7580617  1.7956E+04  1.4590E+04  1.4590E+04  1.8365E+04
    24.7209534  1.8061E+04  1.5433E+04  1.5436E+04  1.8472E+04
    24.6839007  1.8167E+04  1.5414E+04  1.5414E+04  1.8581E+04
    24.6469035  1.8274E+04  1.5171E+04  1.5292E+04  1.8690E+04
    24.6099618  1.8381E+04  1.4611E+04  1.4612E+04  1.8799E+04
    24.5730754  1.8489E+04  1.5669E+04  1.5669E+04  1.8909E+04
    24.5362444  1.8598E+04  1.4475E+04  1.4475E+04  1.9020E+04
    24.4994685  1.8707E+04  1.5356E+04  1.5366E+04  1.9132E+04
    24.4627478  1.8817E+04  1.5218E+04  1.5218E+04  1.9244E+04
    24.4260821  1.8927E+04  1.4651E+04  1.4651E+04  1.9356E+04
    24.3894713  1.9038E+04  1.4945E+04  1.5037E+04  1.9470E+04
    24.3529155  1.9150E+04  1.5894E+04  1.5897E+04  1.9584E+04
    24.3164144  1.9262E+04  1.5762E+04  1.5762E+04  1.9699E+04
    24.2799680  1.9375E+04  1.5887E+04  1.6004E+04  1.9814E+04
    24.2435763  1.9489E+04  1.6277E+04  1.6277E+04  1.9930E+04
    24.2072391  1.9604E+04  1.6197E+04  1.6269E+04  2.0047E+04
    24.1709563  1.9719E+04  1.6278E+04  1.6343E+04  2.0164E+04
    24.1347280  1.9834E+04  1.6505E+04  1.6681E+04  2.0282E+04
    24.0985539  1.9951E+04  1.6368E+04  1.6368E+04  2.0401E+04
    24.0624341  2.0068E+04  1.6451E+04  1.6493E+04  2.0521E+04
    24.0263684  2.0185E+04  1.6277E+04  1.6277E+04  2.0641E+04
    23.9903568  2.0304E+04  1.6373E+04  1.6552E+04  2.0762E+04
    23.9543991  2.0423E+04  1.6634E+04  1.6634E+04  2.0883E+04
    23.9184954  2.0543E+04  1.6723E+04  1.6724E+04  2.1006E+04
    23.8826454  2.0663E+04  1.6838E+04  1.6871E+04  2.1129E+04
    23.8468492  2.0785E+04  1.7352E+04  1.7358E+04  2.1252E+04
    23.8111066  2.0907E+04  1.8164E+04  1.8203E+04  2.1377E+04
    23.7754176  2.1029E+04  1.7238E+04  1.7279E+04  2.1502E+04
    23.7397821  2.1152E+04  1.7499E+04  1.7503E+04  2.1628E+04
    23.7042000  2.1277E+04  1.7645E+04  1.7645E+04  2.1755E+04
    23.6686713  2.1401E+04  1.8303E+04  1.8305E+04  2.1882E+04
    23.6331958  2.1527E+04  1.7770E+04  1.7770E+04  2.2010E+04
    23.5977734  2.1653E+04  1.7671E+04  1.7671E+04  2.2139E+04
    23.5624042  2.1780E+04  1.8137E+04  1.8137E+04  2.2268E+04
    23.5270880  2.1908E+04  1.6722E+04  1.6722E+04  2.2399E+04
    23.4918247  2.2036E+04  1.7325E+04  1.7325E+04  2.2530E+04
    23.4566142  2.2166E+04  1.8467E+04  1.8468E+04  2.2662E+04
    23.4214566  2.2296E+04  1.8181E+04  1.8182E+04  2.2794E+04
    23.3863516  2.2426E+04  1.9002E+04  1.9046E+04  2.2928E+04
    23.3512992  2.2558E+04  1.7384E+04  1.7490E+04  2.3062E+04
    23.3162994  2.2690E+04  1.9202E+04  1.9213E+04  2.3197E+04
    23.2813521  2.2823E+04  1.8682E+04  1.8685E+04  2.3333E+04
    23.2464571  2.2957E+04  1.8275E+04  1.8671E+04  2.3469E+04
    23.2116144  2.3092E+04  1.9065E+04  1.9323E+04  2.3606E+04
    23.1768239  2.3227E+04  1.9552E+04  1.9557E+04  2.3745E+04
    23.1420856  2.3363E+04  1.9611E+04  1.9611E+04  2.3884E+04
    23.1073994  2.3500E+04  1.8485E+04  1.8728E+04  2.4023E+04
    23.0727651  2.3638E+04  1.8941E+04  1.9088E+04  2.4164E+04
    23.0381828  2.3776E+04  1.9277E+04  1.9278E+04  2.4305E+04
