    K,   J,  wlos(J),   WLSTEP(J),   Y
   49     1   1249.94      0.63**********
   49     2   1250.56      0.63      0.00
   49     3   1251.19      0.63      0.00
   49     4   1251.81      0.63      0.00
   49     5   1252.44      0.63      0.00
   49     6   1253.07      0.63      0.00
   49     7   1253.69      0.63      0.00
   49     8   1254.32      0.63      0.00
   49     9   1254.95      0.63      0.00
   49    10   1255.57      0.63      0.00
   49    11   1256.20      0.63      0.00
   49    12   1256.83      0.63      0.00
   49    13   1257.46      0.63      0.00
   49    14   1258.09      0.63      0.00
   49    15   1258.72      0.63      0.00
   49    16   1259.35      0.63      0.00
   49    17   1259.98      0.63      0.00
   49    18   1260.61      0.63      0.00
   49    19   1261.24      0.63      0.00
   49    20   1261.87      0.63      0.00
   49    21   1262.50      0.63      0.00
   49    22   1263.13      0.63      0.00
   49    23   1263.76      0.63      0.00
   49    24   1264.39      0.63      0.00
   49    25   1265.03      0.63      0.00
   49    26   1265.66      0.63      0.00
   49    27   1266.29      0.63      0.00
   49    28   1266.93      0.63      0.00
   49    29   1267.56      0.63      0.00
   49    30   1268.19      0.63      0.00
   49    31   1268.83      0.63      0.00
   49    32   1269.46      0.63      0.00
   49    33   1270.10      0.64      0.00
   49    34   1270.73      0.64      0.00
   49    35   1271.37      0.64      0.00
   49    36   1272.00      0.64      0.00
   49    37   1272.64      0.64      0.00
   49    38   1273.28      0.64      0.00
   49    39   1273.91      0.64      0.00
   49    40   1274.55      0.64      0.00
   49    41   1275.19      0.64      0.00
   49    42   1275.82      0.64      0.00
   49    43   1276.46      0.64      0.00
   49    44   1277.10      0.64      0.00
   49    45   1277.74      0.64      0.00
   49    46   1278.38      0.64      0.00
   49    47   1279.02      0.64      0.00
   49    48   1279.66      0.64      0.00
   49    49   1280.30      0.64      0.00
   49    50   1280.94      0.64      0.00
   49    51   1281.58      0.64      0.00
   49    52   1282.22      0.64      0.00
   49    53   1282.86      0.64      0.00
   49    54   1283.50      0.64      0.00
   49    55   1284.14      0.64      0.00
   49    56   1284.79      0.64      0.00
   49    57   1285.43      0.64      0.00
   49    58   1286.07      0.64      0.00
   49    59   1286.72      0.64      0.00
   49    60   1287.36      0.64      0.00
   49    61   1288.00      0.64      0.00
   49    62   1288.65      0.64      0.00
   49    63   1289.29      0.64      0.00
   49    64   1289.94      0.64      0.00
   49    65   1290.58      0.65      0.00
   49    66   1291.23      0.65      0.00
   49    67   1291.87      0.65      0.00
   49    68   1292.52      0.65      0.00
   49    69   1293.16      0.65      0.00
   49    70   1293.81      0.65      0.00
   49    71   1294.46      0.65      0.00
   49    72   1295.11      0.65      0.00
   49    73   1295.75      0.65      0.00
   49    74   1296.40      0.65      0.00
   49    75   1297.05      0.65      0.00
   49    76   1297.70      0.65      0.00
   49    77   1298.35      0.65      0.00
   49    78   1299.00      0.65      0.00
   49    79   1299.65      0.65      0.00
   49    80   1300.30      0.65      0.00
   49    81   1300.95      0.65      0.00
   49    82   1301.60      0.65      0.00
   49    83   1302.25      0.65      0.00
   49    84   1302.90      0.65      0.00
   49    85   1303.55      0.65      0.00
   49    86   1304.20      0.65      0.00
   49    87   1304.86      0.65      0.00
   49    88   1305.51      0.65      0.00
   49    89   1306.16      0.65      0.00
   49    90   1306.81      0.65      0.00
   49    91   1307.47      0.65      0.00
   49    92   1308.12      0.65      0.00
   49    93   1308.78      0.65      0.00
   49    94   1309.43      0.65      0.00
   49    95   1310.09      0.66      0.00
   49    96   1310.74      0.66      0.00
   49    97   1311.40      0.66      0.00
   49    98   1312.05      0.66      0.00
   49    99   1312.71      0.66      0.00
   49   100   1313.36      0.66      0.00
   49   101   1314.02      0.66      0.00
   49   102   1314.68      0.66      0.00
   49   103   1315.34      0.66      0.00
   49   104   1315.99      0.66      0.00
   49   105   1316.65      0.66      0.00
   49   106   1317.31      0.66      0.00
   49   107   1317.97      0.66      0.00
   49   108   1318.63      0.66      0.00
   49   109   1319.29      0.66      0.00
   49   110   1319.95      0.66      0.00
   49   111   1320.61      0.66      0.00
   49   112   1321.27      0.66      0.00
   49   113   1321.93      0.66      0.00
   49   114   1322.59      0.66      0.00
   49   115   1323.25      0.66      0.00
   49   116   1323.91      0.66      0.00
   49   117   1324.58      0.66      0.00
   49   118   1325.24      0.66      0.00
   49   119   1325.90      0.66      0.00
   49   120   1326.56      0.66      0.00
   49   121   1327.23      0.66      0.00
   49   122   1327.89      0.66      0.00
   49   123   1328.55      0.66      0.00
   49   124   1329.22      0.66      0.00
   49   125   1329.88      0.66      0.00
   49   126   1330.55      0.67      0.00
   49   127   1331.21      0.67      0.00
   49   128   1331.88      0.67      0.00
   49   129   1332.55      0.67      0.00
   49   130   1333.21      0.67      0.00
   49   131   1333.88      0.67      0.00
   49   132   1334.55      0.67      0.00
   49   133   1335.21      0.67      0.00
   49   134   1335.88      0.67      0.00
   49   135   1336.55      0.67      0.00
   49   136   1337.22      0.67      0.00
   49   137   1337.89      0.67      0.00
   49   138   1338.56      0.67      0.00
   49   139   1339.23      0.67      0.00
   49   140   1339.90      0.67      0.00
   49   141   1340.57      0.67      0.00
   49   142   1341.24      0.67      0.00
